role,conversation,cefr
tutor,"You're welcome - nope sorry to say but there are none...sometimes we just have to guess the meaning from context in these cases!!
",B2
student,"Hmm... I have to get used to it!
",B2
tutor,"THanks - 'impressed by' or 'with' is good. 'bored of' is possible and peopel say it in real life though some more careful speakers prefer 'bored with' = more 'correct'
",B2
student,"Thank you. I understood.
",B2
tutor,"I'll think again about my explanation before and improve it for next time with examples!
",B2
student,"Thank you. Is there any rule?? Sorry, 'rules'
",B2
tutor,"You're welcome - nope sorry to say but there are none...sometimes we just have to guess the meaning from context in these cases!!
",B2
student,"Yeah I guess that's true...also, it's more like a reaction to a general situation and the others are often assciated with a smaller, more contained event sorry not a great explanation but you get the idea?! Hmm... I have to get used to it!
",B2
tutor,"THanks - 'impressed by' or 'with' is good. 'bored of' is possible and peopel say it in real life though some more careful speakers prefer 'bored with' = more 'correct'
",B2
student,"Thank you. I understood.
",B2
tutor,"I'll think again about my explanation before and improve it for next time with examples!
",B2
student,"Thank you. Is there any rule?? Sorry, 'rules'
",B2
tutor,"You're welcome - nope sorry to say but there are none...sometimes we just have to guess the meaning from context in these cases!!
",B2
student,"Thank you. I understood.
",B2
tutor,"THanks - 'impressed by' or 'with' is good. 'bored of' is possible and peopel say it in real life though some more careful speakers prefer 'bored with' = more 'correct'
",B2
student,"Thank you. I understood.
",B2
tutor,"I'll think again about my explanation before and improve it for next time with examples!
",B2
student,"Thank you. Is there any rule?? Sorry, 'rules'
",B2
tutor,You're welcome - nope sorry to say but there are none...sometimes we just have to guess the meaning from context in these cases!!,B2
student,Thank you. I understood.,B2
